model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.0,coord_first,0,0,16047,16384,0.8,1.0,17959,902,7547.8293749984,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,1,0,16047,16384,0.8,1.0,17959,920,7070.501375001186,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,2,0,16047,16384,1.0,1.0,17959,945,6897.122999998828,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,3,0,16047,16384,1.0,1.0,17959,796,6440.5780419983785,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,4,0,16047,16384,0.8,1.0,17959,1024,7825.792791998538,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,5,0,16047,16384,0.8,1.0,17959,892,7661.19450000042,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,6,0,16047,16384,1.0,1.0,17959,799,6550.170708000223,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,7,0,16047,16384,0.8,1.0,17959,753,6575.697041997046,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,8,0,16047,16384,0.8,1.0,17959,801,6652.5425410000025,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,9,0,16047,16384,0.8,1.0,17959,754,6467.869041000085,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,0,0,16047,16384,0.9,1.0,17959,972,8127.2270000008575,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,1,0,16047,16384,0.9,1.0,17959,793,6729.567999998835,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,2,0,16047,16384,0.8,1.0,17959,873,7662.892042000749,0,0,1,1,1,1,1,1,1,1
