model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gpt-4.1-mini,openai,0.75,coord_first,17,2712,904,4096,1.0,1.0,4075,761,12278.749457997037,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,15,1808,1808,4096,1.0,1.0,4048,793,12353.855334004038,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,17,0,3616,4096,1.0,1.0,3999,689,9703.436458003125,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,18,0,3616,4096,1.0,1.0,3999,885,13428.500334004639,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,17,3254,362,4096,1.0,1.0,4090,863,12770.163000001048,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,16,904,2712,4096,0.9,0.9,4026,668,8512.349458003882,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,18,2712,904,4096,0.9,0.9,4075,838,13656.34533300181,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,16,1808,1808,4096,1.0,1.0,4047,657,9685.595458002354,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,18,3254,362,4096,1.0,1.0,4090,689,13433.151500001259,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,16,1808,1808,4096,1.0,1.0,4048,677,11461.950332995912,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,17,904,2712,4096,0.9,0.9,4026,844,14191.378250005073,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,19,0,3616,4096,1.0,1.0,3999,998,13008.614874997875,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,18,904,2712,4096,1.0,1.0,4026,779,8401.779499996337,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,18,0,3616,4096,1.0,1.0,3999,684,8644.410708002397,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,19,904,2712,4096,1.0,1.0,4026,719,13663.847000003443,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,18,904,2712,4096,0.9,0.9,4026,680,9422.387083999638,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,coord_first,19,3254,362,4096,1.0,1.0,4090,714,9960.340792000352,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,17,1808,1808,4096,1.0,1.0,4048,741,9881.856250001874,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,19,3254,362,4096,1.0,1.0,4090,727,9960.163582996756,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,18,1808,1808,4096,1.0,1.0,4048,735,11307.36829200032,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,17,1808,1808,4096,1.0,1.0,4047,734,9998.335459000373,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,18,1808,1808,4096,1.0,1.0,4047,771,11254.505375000008,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,19,904,2712,4096,1.0,1.0,4026,733,10473.710124999343,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,19,0,3616,4096,1.0,1.0,3999,875,20576.46987499902,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,19,1808,1808,4096,1.0,1.0,4047,691,10504.73170800251,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,19,1808,1808,4096,1.0,1.0,4048,708,11788.280708002276,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,19,2712,904,4096,1.0,1.0,4075,817,11402.3085000008,1,1,1,1,1,1,1,1,1,1
