model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.94,coord_first,0,3533,226,4096,0.5,0.625,4098,851,18566.914291999863,0,0,1,1,0,1,1,1,0,0
gpt-4.1-mini,openai,0.94,coord_first,1,3533,226,4096,0.3,0.25,4098,903,12666.066833000059,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,coord_first,2,3533,226,4096,0.3,0.375,4098,906,12193.885124999952,0,0,1,1,0,0,0,1,0,0
gpt-4.1-mini,openai,0.94,coord_first,3,3533,226,4096,0.3,0.25,4098,965,12520.628041000009,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,coord_first,4,3533,226,4096,0.0,0.0,4098,985,14945.193416999928,0,0,0,0,0,0,0,0,0,0
gpt-4.1-mini,openai,0.94,coord_first,5,3533,226,4096,0.5,0.5,4098,967,17871.28445799999,0,1,1,1,0,0,1,1,0,0
gpt-4.1-mini,openai,0.94,coord_first,6,3533,226,4096,0.4,0.5,4098,1024,13954.599250000228,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,7,3533,226,4096,0.5,0.5,4098,1019,23454.882749999797,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,8,3533,226,4096,0.4,0.5,4098,936,12432.831333000195,0,0,1,1,0,1,0,0,0,1
gpt-4.1-mini,openai,0.94,coord_first,9,3533,226,4096,0.4,0.5,4098,900,11487.358708000102,0,0,1,1,0,0,1,0,0,1
gpt-4.1-mini,openai,0.94,coord_first,10,3533,226,4096,0.5,0.5,4098,923,12792.905041999802,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,11,3533,226,4096,0.5,0.5,4098,938,12509.11166700007,0,1,1,0,0,0,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,12,3533,226,4096,0.6,0.75,4098,886,13376.387208999859,0,0,1,1,0,1,1,1,1,0
gpt-4.1-mini,openai,0.94,coord_first,13,3533,226,4096,0.4,0.375,4098,987,24868.350374999864,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,14,3533,226,4096,0.4,0.375,4098,930,17803.69620800002,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,15,3533,226,4096,0.2,0.125,4098,858,15209.23566600004,0,1,1,0,0,0,0,0,0,0
