model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.94,coord_first,0,7383,472,8192,0.7,0.875,8183,1024,10687.091709000015,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,1,7383,472,8192,0.7,0.875,8183,1024,16229.819250000219,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,2,7383,472,8192,0.8,0.875,8183,1024,15515.21537500048,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,3,7383,472,8192,0.7,0.875,8183,1024,13418.233874999714,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,4,7383,472,8192,0.7,0.875,8183,1024,15210.106875001657,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,5,7383,472,8192,0.7,0.875,8183,1024,10799.928000000364,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,6,7383,472,8192,0.7,0.875,8183,1024,14889.472124999884,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,7,7383,472,8192,0.8,0.875,8183,1014,17104.86149999997,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,8,7383,472,8192,0.8,0.875,8183,1024,11884.864249997918,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,9,7383,472,8192,0.7,0.875,8183,1024,18063.91525000072,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,10,7383,472,8192,0.7,0.875,8183,1024,12575.527332999627,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,11,7383,472,8192,0.7,0.875,8183,1024,12798.131250001461,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,12,7383,472,8192,0.8,0.875,8183,1024,15334.235583002737,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,13,7383,472,8192,0.7,0.875,8183,1024,14669.830374998128,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,14,7383,472,8192,0.7,0.875,8183,1024,14437.164499999199,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,15,7383,472,8192,0.7,0.875,8183,1024,16954.32079100283,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,16,7383,472,8192,0.8,0.875,8183,1024,18923.982457999955,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,17,7383,472,8192,0.7,0.875,8183,1024,17919.64525000003,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,18,7383,472,8192,0.7,0.875,8183,1024,18488.318833999074,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,19,7383,472,8192,0.7,0.875,8183,1024,13628.074208001635,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,0,7383,472,8192,0.8,0.875,8182,1024,15345.512957999745,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,1,7383,472,8192,0.8,0.875,8182,1024,14132.984459,1,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,2,7383,472,8192,0.8,0.875,8182,1024,14054.65870899934,0,1,1,1,1,1,1,1,0,1
