model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.0,coord_first,16,0,7855,8192,0.8,1.0,8257,993,14463.641917000132,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,17,0,7855,8192,0.8,1.0,8257,1024,16804.836332999912,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,18,0,7855,8192,0.8,1.0,8257,1024,17701.12358299957,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,19,0,7855,8192,0.8,1.0,8257,1024,16732.86674999963,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,0,0,7855,8192,0.8,1.0,8257,1024,16326.282499999934,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,1,0,7855,8192,0.8,1.0,8257,1024,24414.00512500013,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,2,0,7855,8192,0.8,1.0,8257,1024,16135.886832999859,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,3,0,7855,8192,0.8,1.0,8257,1024,19730.812499999956,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,4,0,7855,8192,0.8,1.0,8257,1024,19691.48508299986,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,5,0,7855,8192,0.8,1.0,8257,1011,18005.10866700006,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,6,0,7855,8192,0.8,1.0,8257,1024,15477.784791999966,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,7,0,7855,8192,0.8,1.0,8257,1024,17277.397292000387,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,8,0,7855,8192,0.8,1.0,8257,1024,19173.62358399987,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,9,0,7855,8192,0.8,1.0,8257,1002,23277.78575000002,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,10,0,7855,8192,0.8,1.0,8257,1024,18711.885665999944,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,11,0,7855,8192,0.8,1.0,8257,1024,15217.68450000036,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,12,0,7855,8192,0.9,1.0,8257,1024,23386.524417000146,1,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,13,0,7855,8192,0.8,1.0,8257,974,16407.130415999745,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,14,0,7855,8192,0.8,1.0,8257,1024,16907.29791600006,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,15,0,7855,8192,0.8,1.0,8257,1024,17207.086708000134,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,16,0,7855,8192,0.8,1.0,8257,1023,15667.468499999814,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,17,0,7855,8192,0.9,1.0,8257,1024,15880.285333999382,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,18,0,7855,8192,0.8,1.0,8257,1024,15868.885666999631,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,19,0,7855,8192,0.8,1.0,8257,1024,24238.960583000335,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,0,1963,5892,8192,0.8,1.0,8239,1024,20358.48254199982,0,0,1,1,1,1,1,1,1,1
